axis,subset,kind,method_x,method_y,n,pearson,pearson_lo,pearson_hi,spearman,spearman_lo,spearman_hi,P_bigfam_gt
dist_cum,>=0.05,both,bigfam_v1,snp_h2,195,0.5591092133966667,0.43777600922879595,0.6710854783228156,0.568048509759798,0.46935045145005067,0.6813675816524803,1.0
dist_cum,>=0.05,continuous,falconer,snp_h2,195,0.5294721939858664,0.31456769875206264,0.8022523968930844,0.7814240173305421,0.6700034834852269,0.8756779075882218,0.9815
dist_cum,>=0.05,continuous,herg,snp_h2,195,0.4937226475463763,0.28032650890174227,0.7734922590371631,0.7638156837982659,0.6522886226651666,0.8609069176164725,0.9845
dist_cum,>=0.05,continuous,sem_step,snp_h2,195,0.2508477982599455,0.054176008536643616,0.6024012521367165,0.7069090455940474,0.5851566593667518,0.8161807597239884,0.9981
dist_cum,>=0.05,continuous,sem_const,snp_h2,195,0.8220633760893868,0.7475600647540045,0.8893139383145691,0.8333354237840831,0.7610641050107235,0.8940154097635664,0.6071
dist_cum,>=0.05,continuous,ldak_step,snp_h2,195,0.6432233951053479,0.49473650201184194,0.7881617340705253,0.6970139217254723,0.5759369682859845,0.8070596807522343,0.9969
dist_cum,>=0.05,continuous,ldak_const,snp_h2,195,0.7405407057750076,0.6073061850316007,0.8617696293146124,0.7978081761696956,0.6936116731470816,0.8857494424238788,0.9275
dist_cum,>=0.05,continuous,bigfam,snp_h2,195,0.8310382617488604,0.7852654820610135,0.8739522303457644,0.844063688628474,0.797143355777648,0.884412485579464,
dist_cum,>=0.05,continuous,bigfam_v1,snp_h2,195,0.5591092133966667,0.438592200565017,0.6736563900292287,0.568048509759798,0.45833061182575013,0.6738262803571297,1.0
dist_cum,>=0.05,binary,falconer,snp_h2,65,0.45134517843650945,0.1550722375168288,0.690134637868724,0.4277972027972028,0.1896641968518254,0.6243988138298789,0.3316
dist_cum,>=0.05,binary,herg,snp_h2,65,0.5188235721605793,0.24865643494239864,0.7194581210473113,0.4511363636363636,0.21919056688282532,0.6462665166352989,0.2092
dist_cum,>=0.05,binary,sem_step,snp_h2,65,0.0203626861114894,-0.23349892173009001,0.29157841070564916,0.01687062937062937,-0.22299228578531863,0.2571299518821865,0.9657
dist_cum,>=0.05,binary,sem_const,snp_h2,65,0.4483160164744999,0.10380267360638788,0.7552527982055374,0.4559877622377623,0.20104268014727408,0.6702046543028629,0.3602
dist_cum,>=0.05,binary,ldak_step,snp_h2,65,0.08994175547470135,-0.15146398363166824,0.33633285302626836,0.10782342657342658,-0.13614531818219452,0.3379499020410909,0.9519
dist_cum,>=0.05,binary,ldak_const,snp_h2,65,0.5648781181130407,0.24515615928770648,0.7851694648507543,0.4787150349650349,0.23594565392099534,0.6878763303410577,0.1767
dist_cum,>=0.05,binary,bigfam,snp_h2,65,0.4006566938917139,0.09118192432284836,0.6315163325731161,0.3953135166841695,0.14641754011019842,0.6219358461821206,
dist_cum,>=0.10,both,falconer,snp_h2,198,0.47582854439138,0.27130688055112817,0.7273095501816063,0.71863631181217,0.6034045007054665,0.8188764802145634,0.9944
dist_cum,>=0.10,both,herg,snp_h2,198,0.446679637112458,0.24916454021133902,0.693934278094778,0.702524353645741,0.5881797750633388,0.8054034836441036,0.9986
dist_cum,>=0.10,both,sem_step,snp_h2,198,0.16052172772576498,-0.006999287483090548,0.4206901972247004,0.5065882866747756,0.38136568397030857,0.6316577268883314,1.0
dist_cum,>=0.10,both,sem_const,snp_h2,198,0.7130941982476486,0.5777794597657706,0.8268111632501033,0.755309490820425,0.6644557065143921,0.8314215416377864,0.9683
dist_cum,>=0.10,both,ldak_step,snp_h2,198,0.4946461365129899,0.35447081395579877,0.6380632551481162,0.5349106855187892,0.40589851809401306,0.6607571847112207,1.0
dist_cum,>=0.10,both,ldak_const,snp_h2,198,0.6732020666433525,0.5413779939575647,0.792919887690114,0.7255452521360268,0.6130746775665252,0.8220753715002688,0.9933
dist_cum,>=0.10,both,bigfam,snp_h2,198,0.8104593821911903,0.7614714385063956,0.8540166866601696,0.7822132528806439,0.7205349073686151,0.8346086396517716,
dist_cum,>=0.10,both,bigfam_v1,snp_h2,153,0.55381754325237,0.41929646858505143,0.6768404606271461,0.5691611325253985,0.450392510533854,0.6891449335628758,1.0
